,lead_number,origin,source,no_email,converted,visits,visit_time,visit_pages,last_activity,country,specialization,hear_about,occupation,search,recommendations,quality,profile,city,activity_index,profile_index,mti_copy,modified
1319,645967,Landing Page Submission,Organic Search,0,0,5.0,61,5.0,Email Opened,India,Travel and Tourism,Unknown,Unknown,0,0,Unknown,Unknown,Other Cities,2,1,1,0
1320,645960,Landing Page Submission,Direct Traffic,0,0,3.0,21,3.0,Email Link Clicked,India,Human Resource Management,Unknown,Unemployed,0,0,Worst,Student of SomeSchool,Mumbai,3,3,1,0
1321,645948,Landing Page Submission,Google,0,0,13.0,254,3.25,Email Opened,India,Travel and Tourism,Social Media,Unemployed,0,0,Not Sure,Unknown,Other Cities,2,1,1,0
1322,645946,Landing Page Submission,Direct Traffic,0,0,3.0,505,3.0,Email Link Clicked,India,Human Resource Management,Unknown,Unemployed,0,0,Might be,Unknown,Mumbai,2,3,1,0
1323,645937,API,Olark Chat,0,0,0.0,0,0.0,Email Link Clicked,Unknown,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,0
1324,645927,API,Google,0,1,4.0,1874,4.0,SMS Sent,India,Marketing Management,Online Search,Unemployed,0,0,Low in Relevance,Potential Lead,Mumbai,2,3,0,0
1325,645914,Landing Page Submission,Organic Search,0,0,9.0,1208,9.0,Email Opened,India,Hospitality Management,Unknown,Unemployed,0,0,Unknown,Unknown,Tier II Cities,2,1,1,0
1326,645889,Landing Page Submission,Direct Traffic,0,1,5.0,788,5.0,Email Opened,India,Marketing Management,Word Of Mouth,Unemployed,0,0,High in Relevance,Potential Lead,Other Metro Cities,2,3,0,0
1327,645887,Landing Page Submission,Direct Traffic,0,1,2.0,71,2.0,Email Opened,India,Finance Management,Unknown,Working Professional,0,0,Might be,Potential Lead,Other Cities of Maharashtra,2,3,0,0
1328,645883,API,Olark Chat,0,0,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,2,2,0,0
1329,645875,Landing Page Submission,Organic Search,0,1,6.0,788,6.0,SMS Sent,India,"Banking, Investment And Insurance",Unknown,Unemployed,0,0,Might be,Unknown,Other Cities of Maharashtra,2,2,1,0
1330,645843,Landing Page Submission,Organic Search,0,0,5.0,285,5.0,Email Opened,India,Business Administration,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,1,2,0,0
1331,645840,Landing Page Submission,Direct Traffic,0,1,2.0,1008,2.0,Email Link Clicked,India,Marketing Management,Unknown,Unknown,0,0,Unknown,Unknown,Mumbai,2,3,1,0
1332,645825,Lead Add Form,Reference,0,1,0.0,0,0.0,Email Opened,Unknown,Supply Chain Management,Unknown,Unemployed,0,0,High in Relevance,Potential Lead,Mumbai,2,3,0,0
1333,645818,Landing Page Submission,Direct Traffic,0,0,1.0,471,1.0,Converted to Lead,India,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,3,2,0,1
1334,645814,Landing Page Submission,Direct Traffic,0,0,3.0,117,3.0,Page Visited on Website,India,Hospitality Management,Unknown,Unemployed,0,0,Unknown,Unknown,Other Metro Cities,2,1,1,1
1335,645810,API,Olark Chat,0,1,7.0,1186,2.33,Page Visited on Website,Unknown,Unknown,Unknown,Unemployed,0,0,Low in Relevance,Potential Lead,Other Cities,2,2,0,0
1336,645806,Landing Page Submission,Organic Search,0,0,9.0,296,9.0,Email Opened,India,Human Resource Management,Unknown,Unemployed,0,0,Not Sure,Other Leads,Mumbai,2,3,1,0
1337,645802,Landing Page Submission,Google,0,0,4.0,526,4.0,SMS Sent,India,Operations Management,Online Search,Unemployed,0,0,Not Sure,Unknown,Mumbai,1,3,0,0
1338,645791,Landing Page Submission,Direct Traffic,0,0,2.0,31,2.0,Email Opened,Saudi Arabia,Marketing Management,Unknown,Unemployed,0,0,Might be,Unknown,Mumbai,1,3,1,0
1339,645790,Landing Page Submission,Direct Traffic,0,1,4.0,754,2.0,Page Visited on Website,Bahrain,International Business,Unknown,Working Professional,0,0,Low in Relevance,Potential Lead,Other Cities,2,3,1,0
1340,645785,Landing Page Submission,Google,0,1,2.0,189,2.0,Email Opened,India,Finance Management,Word Of Mouth,Unemployed,0,0,High in Relevance,Potential Lead,Mumbai,2,3,0,0
1341,645773,API,Google,0,1,2.0,369,2.0,Email Opened,India,Unknown,Unknown,Unemployed,0,0,High in Relevance,Potential Lead,Mumbai,2,2,0,0
1342,645763,Landing Page Submission,Direct Traffic,0,1,1.0,42,1.0,Converted to Lead,India,Business Administration,Unknown,Unemployed,0,0,Not Sure,Unknown,Mumbai,2,3,1,1
1343,645760,API,Olark Chat,0,1,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,0
1344,645755,API,Olark Chat,0,1,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,0
1345,645735,Landing Page Submission,Organic Search,0,1,11.0,608,9.0,SMS Sent,India,Supply Chain Management,Unknown,Unemployed,0,0,Unknown,Unknown,Mumbai,3,3,1,0
1346,645725,API,Olark Chat,0,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,3,2,0,1
1347,645714,API,Olark Chat,0,1,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,3,2,0,0
1348,645713,API,Olark Chat,0,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,3,2,0,1
1349,645710,Landing Page Submission,Direct Traffic,0,0,11.0,1236,9.0,SMS Sent,India,Business Administration,Unknown,Unknown,0,0,Unknown,Unknown,Mumbai,2,3,1,1
1350,645703,Landing Page Submission,Referral Sites,0,1,6.0,1689,6.0,Email Opened,India,Supply Chain Management,Online Search,Working Professional,0,0,Might be,Potential Lead,Other Cities,2,2,1,0
1351,645699,Landing Page Submission,Direct Traffic,0,0,4.0,322,4.0,SMS Sent,India,"Banking, Investment And Insurance",Unknown,Unemployed,0,0,Might be,Unknown,Thane & Outskirts,2,2,1,0
1352,645690,API,Direct Traffic,0,1,6.0,1408,3.0,Email Opened,India,Unknown,Unknown,Unemployed,0,0,Might be,Unknown,Unknown,2,2,0,0
1353,645671,API,Google,0,0,2.0,59,2.0,Email Opened,India,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,2,2,0,0
1354,645668,Lead Add Form,Welingak Website,0,1,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,0
1355,645664,API,Olark Chat,0,1,0.0,0,0.0,Email Link Clicked,Unknown,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,0
1356,645662,Landing Page Submission,Organic Search,0,0,8.0,550,2.67,Email Opened,India,Travel and Tourism,Unknown,Unemployed,0,0,Unknown,Unknown,Other Metro Cities,2,1,1,0
1357,645659,Landing Page Submission,Direct Traffic,0,0,2.0,963,2.0,Email Opened,India,Human Resource Management,Unknown,Unemployed,0,0,Unknown,Unknown,Thane & Outskirts,2,2,1,0
1358,645657,API,Google,0,1,2.0,923,1.0,Email Opened,India,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,0
1359,645640,Landing Page Submission,Organic Search,0,1,4.0,1121,4.0,SMS Sent,India,Supply Chain Management,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,0
1360,645636,API,Google,0,1,6.0,1366,6.0,SMS Sent,India,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,0
1361,645629,Landing Page Submission,Direct Traffic,0,0,2.0,77,2.0,Email Opened,Kuwait,Human Resource Management,Unknown,Unemployed,0,0,Not Sure,Other Leads,Other Cities,2,2,1,0
1362,645612,API,Olark Chat,0,0,5.0,274,2.5,Page Visited on Website,Unknown,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,0
1363,645610,API,Direct Traffic,0,0,4.0,446,1.33,Email Opened,India,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,2,2,0,0
1364,645601,API,Google,0,1,2.0,972,1.0,Email Opened,India,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,3,2,0,0
1365,645596,Lead Add Form,Welingak Website,0,1,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,1
1366,645563,API,Olark Chat,0,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,3,2,0,0
1367,645545,Landing Page Submission,Direct Traffic,0,0,7.0,252,2.33,Email Opened,India,Operations Management,Multiple Sources,Unemployed,0,0,Might be,Unknown,Thane & Outskirts,3,2,1,0
1368,645538,Landing Page Submission,Direct Traffic,0,1,3.0,1346,3.0,Email Opened,Bahrain,Business Administration,Unknown,Working Professional,0,0,High in Relevance,Potential Lead,Mumbai,2,3,0,0
1369,645530,API,Google,0,1,2.0,1108,2.0,Converted to Lead,India,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,1
1370,645524,API,Olark Chat,0,1,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,1
1371,645523,API,Google,0,1,2.0,1606,2.0,Email Opened,India,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,0
1372,645517,Landing Page Submission,Google,0,0,5.0,1209,5.0,Email Opened,India,IT Projects Management,Online Search,Unknown,0,0,Unknown,Unknown,Mumbai,2,2,0,0
1373,645515,Landing Page Submission,Google,0,0,3.0,315,3.0,Email Opened,India,Supply Chain Management,Online Search,Unemployed,0,0,Not Sure,Other Leads,Other Metro Cities,2,2,0,0
1374,645512,API,Google,0,1,6.0,1552,1.5,Email Opened,India,Business Administration,Unknown,Unemployed,0,0,Unknown,Unknown,Mumbai,2,2,1,0
1375,645495,Landing Page Submission,Direct Traffic,0,0,5.0,88,1.67,Email Opened,India,Human Resource Management,Unknown,Unemployed,0,0,Not Sure,Unknown,Thane & Outskirts,2,2,1,0
1376,645491,API,Google,0,0,4.0,185,4.0,Page Visited on Website,India,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,1
1377,645483,API,Google,0,1,2.0,485,2.0,Email Opened,India,Human Resource Management,Unknown,Unemployed,0,0,High in Relevance,Potential Lead,Mumbai,2,3,0,0
1378,645481,API,Olark Chat,0,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,3,2,0,1
1379,645472,Landing Page Submission,Direct Traffic,0,1,8.0,103,2.67,SMS Sent,India,Human Resource Management,Student of SomeSchool,Working Professional,0,0,Might be,Unknown,Mumbai,2,3,0,0
1380,645458,Landing Page Submission,Direct Traffic,0,1,2.0,816,2.0,Email Opened,India,IT Projects Management,Unknown,Unknown,0,0,Unknown,Unknown,Other Cities,2,1,1,0
1381,645457,API,Google,0,1,3.0,1319,3.0,Email Opened,India,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,0
1382,645447,Landing Page Submission,Google,0,0,3.0,240,3.0,Email Opened,India,International Business,Online Search,Unemployed,0,0,Unknown,Unknown,Other Cities,2,2,0,0
1383,645441,API,Olark Chat,0,1,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,0
1384,645431,Landing Page Submission,Google,0,0,5.0,286,5.0,Email Opened,India,Human Resource Management,Other,Unknown,0,0,Unknown,Unknown,Thane & Outskirts,2,2,0,0
1385,645422,API,Olark Chat,0,0,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,3,2,0,0
1386,645398,Lead Add Form,Welingak Website,0,1,0.0,0,0.0,SMS Sent,Unknown,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,1
1387,645392,Lead Add Form,Welingak Website,0,1,0.0,0,0.0,SMS Sent,Unknown,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,0
1388,645388,API,Google,0,1,2.0,2020,2.0,Email Opened,Singapore,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,0
1389,645386,Landing Page Submission,Direct Traffic,0,0,3.0,212,3.0,Email Opened,India,Rural and Agribusiness,Unknown,Unemployed,0,0,Unknown,Unknown,Mumbai,2,2,1,0
1390,645385,API,Google,0,1,2.0,880,2.0,Email Opened,India,Marketing Management,Unknown,Unemployed,0,0,High in Relevance,Potential Lead,Mumbai,2,3,0,0
1391,645381,Landing Page Submission,Google,1,0,5.0,1369,2.5,Email Bounced,India,Marketing Management,Word Of Mouth,Unemployed,0,0,Not Sure,Unknown,Other Cities of Maharashtra,1,2,0,0
1392,645378,Landing Page Submission,Google,0,0,3.0,172,3.0,Form Submitted on Website,India,IT Projects Management,Other,Unemployed,0,0,Unknown,Unknown,Other Cities,1,1,0,1
1393,645377,Lead Add Form,Welingak Website,0,1,0.0,429,0.0,Unknown,Unknown,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,1
1394,645372,Landing Page Submission,Google,0,0,2.0,14,2.0,Email Opened,India,Supply Chain Management,Unknown,Unemployed,0,0,Unknown,Unknown,Mumbai,2,3,0,0
1395,645370,Lead Add Form,Reference,0,1,0.0,186,0.0,Unknown,Unknown,Human Resource Management,Unknown,Student,0,0,Low in Relevance,Potential Lead,Mumbai,2,3,0,1
1396,645355,Landing Page Submission,Google,0,1,2.0,861,2.0,SMS Sent,India,Finance Management,Online Search,Student,0,0,Might be,Unknown,Mumbai,2,3,0,0
1397,645352,Lead Add Form,Welingak Website,0,1,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,0
1398,645350,API,Google,0,1,2.0,640,1.0,Email Opened,India,Marketing Management,Unknown,Working Professional,0,0,Low in Relevance,Potential Lead,Mumbai,2,3,0,0
1399,645342,Landing Page Submission,Direct Traffic,0,0,3.0,580,1.5,Email Opened,India,Finance Management,Unknown,Unknown,0,0,Unknown,Unknown,Thane & Outskirts,2,2,1,0
1400,645335,Landing Page Submission,Direct Traffic,0,0,2.0,1603,2.0,Page Visited on Website,India,"Banking, Investment And Insurance",Unknown,Unemployed,0,0,Not Sure,Unknown,Thane & Outskirts,2,2,1,1
1401,645333,API,Google,0,1,3.0,1459,3.0,Email Opened,India,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,0
1402,645330,API,Olark Chat,0,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,1,2,0,1
1403,645324,Landing Page Submission,Google,0,1,3.0,359,3.0,SMS Sent,India,Finance Management,Advertisements,Unemployed,0,0,Might be,Unknown,Mumbai,2,3,0,0
1404,645315,Landing Page Submission,Direct Traffic,0,1,5.0,100,5.0,SMS Sent,India,Finance Management,Unknown,Unemployed,0,0,Might be,Unknown,Mumbai,2,3,1,0
1405,645308,Landing Page Submission,Google,0,1,3.0,423,3.0,SMS Sent,India,Business Administration,Word Of Mouth,Unemployed,0,0,Unknown,Unknown,Mumbai,2,3,0,0
1406,645305,Lead Add Form,Reference,0,1,0.0,0,0.0,Email Opened,Unknown,Marketing Management,Unknown,Unemployed,0,0,High in Relevance,Potential Lead,Mumbai,2,3,0,0
1407,645294,API,Google,0,1,2.0,1520,2.0,SMS Sent,India,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,0
1408,645292,Landing Page Submission,Google,0,1,4.0,1360,4.0,SMS Sent,India,Marketing Management,Multiple Sources,Working Professional,0,0,Might be,Unknown,Mumbai,1,3,0,0
1409,645291,Landing Page Submission,Direct Traffic,0,0,2.0,2,2.0,SMS Sent,India,Marketing Management,Unknown,Unemployed,0,0,Might be,Unknown,Other Cities,1,2,1,1
1410,645285,Landing Page Submission,Organic Search,0,0,5.0,294,5.0,Email Opened,India,Media and Advertising,Unknown,Unemployed,0,0,Unknown,Unknown,Other Metro Cities,2,2,1,0
1411,645276,Landing Page Submission,Google,0,1,4.0,1261,4.0,Form Submitted on Website,India,Travel and Tourism,Social Media,Unemployed,0,0,Might be,Unknown,Mumbai,2,2,0,1
1412,645274,API,Olark Chat,0,0,3.0,135,1.5,Email Link Clicked,Unknown,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,3,2,0,0
1413,645271,Landing Page Submission,Google,0,0,4.0,1805,4.0,Email Opened,India,"Banking, Investment And Insurance",Word Of Mouth,Unknown,0,0,Unknown,Unknown,Mumbai,2,3,0,0
1414,645265,Landing Page Submission,Google,0,0,4.0,110,2.0,SMS Sent,India,Business Administration,Online Search,Unknown,0,0,Unknown,Unknown,Mumbai,2,3,0,0
1415,645252,Landing Page Submission,Direct Traffic,0,0,3.0,42,1.5,Email Opened,India,Marketing Management,Unknown,Unknown,0,0,Unknown,Unknown,Mumbai,2,3,1,0
1416,645243,Lead Add Form,Reference,0,1,0.0,0,0.0,SMS Sent,Unknown,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,0
1417,645241,API,Organic Search,0,0,5.0,45,5.0,Email Opened,India,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,0
1418,645226,Landing Page Submission,Google,1,0,1.0,866,1.0,Email Bounced,India,Human Resource Management,Online Search,Unknown,0,0,Unknown,Unknown,Mumbai,2,3,0,1
1419,645218,Landing Page Submission,Google,0,1,7.0,938,7.0,Email Opened,India,Business Administration,Word Of Mouth,Unemployed,0,0,Not Sure,Other Leads,Mumbai,2,3,0,1
1420,645215,API,Google,0,0,8.0,397,2.0,Olark Chat Conversation,India,Human Resource Management,Other,Unknown,0,0,Unknown,Unknown,Thane & Outskirts,3,2,0,0
1421,645200,API,Organic Search,0,1,5.0,1084,5.0,Olark Chat Conversation,India,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,2,2,0,1
1422,645184,Landing Page Submission,Google,1,0,6.0,148,3.0,SMS Sent,India,Human Resource Management,Online Search,Unemployed,0,0,Not Sure,Unknown,Mumbai,2,3,0,1
1423,645176,API,Google,0,1,2.0,1345,2.0,Email Opened,India,Marketing Management,Unknown,Unemployed,0,0,Might be,Potential Lead,Unknown,2,2,0,0
1424,645173,Landing Page Submission,Direct Traffic,0,1,4.0,1709,4.0,SMS Sent,India,Supply Chain Management,Unknown,Working Professional,0,0,Not Sure,Unknown,Mumbai,2,3,1,0
1425,645172,Landing Page Submission,Google,0,1,4.0,1588,4.0,SMS Sent,India,Human Resource Management,Multiple Sources,Working Professional,0,0,Might be,Unknown,Mumbai,2,3,0,0
1426,645169,API,Olark Chat,0,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,2,2,0,1
1427,645155,API,Direct Traffic,0,0,3.0,533,1.5,Email Opened,India,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,2,2,0,1
1428,645154,API,Olark Chat,0,0,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,0
1429,645149,Landing Page Submission,Google,0,0,2.0,1288,2.0,Email Opened,India,Travel and Tourism,Student of SomeSchool,Unknown,0,0,Unknown,Unknown,Mumbai,2,2,0,0
1430,645148,Landing Page Submission,Direct Traffic,0,0,6.0,95,2.0,Email Opened,Canada,Marketing Management,Unknown,Unemployed,0,0,Unknown,Unknown,Mumbai,2,3,1,0
1431,645140,API,Google,0,0,4.0,12,1.33,Page Visited on Website,India,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,0
1432,645131,Landing Page Submission,Organic Search,0,1,11.0,1054,2.75,Email Opened,India,Rural and Agribusiness,Unknown,Unemployed,0,0,Not Sure,Other Leads,Other Cities,2,1,1,0
1433,645128,Landing Page Submission,Direct Traffic,0,1,4.0,664,2.0,Email Opened,India,Business Administration,Student of SomeSchool,Student,0,0,Might be,Other Leads,Mumbai,2,3,1,0
1434,645114,Landing Page Submission,Google,0,0,3.0,336,1.5,Email Opened,India,Finance Management,Word Of Mouth,Unemployed,0,0,Unknown,Unknown,Mumbai,2,3,0,0
1435,645110,Landing Page Submission,Direct Traffic,0,0,2.0,291,2.0,SMS Sent,India,Marketing Management,Student of SomeSchool,Unknown,0,0,Unknown,Unknown,Thane & Outskirts,2,2,0,0
1436,645099,Landing Page Submission,Google,0,1,4.0,1688,4.0,Email Opened,India,Operations Management,Online Search,Working Professional,0,0,Low in Relevance,Potential Lead,Other Cities of Maharashtra,2,3,0,0
1437,645089,Landing Page Submission,Google,0,1,10.0,1467,9.0,Email Opened,Netherlands,Operations Management,Unknown,Unemployed,0,0,High in Relevance,Potential Lead,Thane & Outskirts,2,3,1,0
1438,645067,Landing Page Submission,Organic Search,0,0,8.0,419,8.0,Email Link Clicked,India,Marketing Management,Unknown,Unemployed,0,0,Low in Relevance,Unknown,Mumbai,2,3,1,0
1439,645057,API,Google,0,1,4.0,427,4.0,Email Opened,India,"Banking, Investment And Insurance",Unknown,Working Professional,0,0,Might be,Potential Lead,Thane & Outskirts,3,2,0,0
1440,645051,API,Google,0,0,5.0,294,5.0,Email Opened,India,Finance Management,Student of SomeSchool,Unknown,0,0,Unknown,Unknown,Other Metro Cities,2,1,0,0
1441,645035,API,Google,0,0,6.0,529,3.0,Email Opened,India,"Banking, Investment And Insurance",Online Search,Unemployed,0,0,Unknown,Unknown,Thane & Outskirts,2,2,0,0
1442,645026,Landing Page Submission,Google,0,1,2.0,1296,2.0,Converted to Lead,India,Marketing Management,Other,Unknown,0,0,Unknown,Unknown,Thane & Outskirts,2,2,0,1
1443,645024,API,Olark Chat,0,0,2.0,139,1.0,Email Opened,Unknown,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,0
1444,645009,Landing Page Submission,Google,0,1,3.0,1683,3.0,Email Opened,India,Business Administration,Online Search,Working Professional,0,0,High in Relevance,Potential Lead,Mumbai,2,3,0,0
1445,644990,API,Google,0,0,1.0,254,1.0,Converted to Lead,India,Unknown,Unknown,Unemployed,0,0,Low in Relevance,Potential Lead,Mumbai,2,2,0,1
1446,644988,Landing Page Submission,Direct Traffic,0,1,3.0,1223,3.0,Email Opened,India,Operations Management,Unknown,Unemployed,0,0,High in Relevance,Potential Lead,Other Cities of Maharashtra,2,3,1,0
1447,644985,Landing Page Submission,Direct Traffic,0,1,2.0,940,2.0,SMS Sent,India,"Banking, Investment And Insurance",Unknown,Unemployed,0,0,Might be,Potential Lead,Mumbai,2,3,1,0
1448,644961,Landing Page Submission,Google,0,0,5.0,9,5.0,SMS Sent,India,Supply Chain Management,Online Search,Unemployed,0,0,Might be,Unknown,Mumbai,2,3,0,1
1449,644954,Landing Page Submission,Direct Traffic,0,0,2.0,270,2.0,Email Opened,India,Finance Management,Unknown,Unknown,0,0,Unknown,Unknown,Thane & Outskirts,3,2,1,0
1450,644953,API,Google,0,1,5.0,1323,2.5,SMS Sent,India,Human Resource Management,Student of SomeSchool,Working Professional,0,0,Might be,Potential Lead,Other Cities,2,2,0,0
1451,644924,Landing Page Submission,Google,0,0,4.0,469,4.0,Email Opened,India,Finance Management,Other,Unknown,0,0,Unknown,Unknown,Mumbai,2,3,0,0
1452,644912,API,Google,0,0,6.0,326,3.0,Email Opened,India,Human Resource Management,Unknown,Unemployed,0,0,Unknown,Unknown,Mumbai,2,2,1,0
1453,644911,API,Google,0,0,4.0,45,4.0,Email Opened,India,Marketing Management,Multiple Sources,Unemployed,0,0,Worst,Unknown,Mumbai,2,2,0,1
1454,644906,Landing Page Submission,Google,0,1,6.0,1975,6.0,Email Link Clicked,India,IT Projects Management,Online Search,Unemployed,0,0,Low in Relevance,Potential Lead,Mumbai,2,2,0,0
1455,644905,Landing Page Submission,Google,0,0,4.0,1064,4.0,Email Opened,India,Human Resource Management,Online Search,Unemployed,0,0,Might be,Unknown,Mumbai,2,3,0,0
1456,644900,Landing Page Submission,Google,0,1,6.0,1681,6.0,Email Opened,India,International Business,Social Media,Unemployed,0,0,Might be,Potential Lead,Mumbai,2,3,0,0
1457,644895,API,Olark Chat,0,0,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,1
1458,644885,Landing Page Submission,Direct Traffic,0,1,2.0,1545,2.0,Email Opened,India,Supply Chain Management,Unknown,Working Professional,0,0,Low in Relevance,Potential Lead,Mumbai,2,3,1,0
1459,644881,API,Direct Traffic,0,0,17.0,1165,2.5,Email Opened,India,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,2,2,0,1
1460,644880,API,Olark Chat,0,1,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,2,2,0,1
1461,644871,API,Google,0,0,5.0,71,5.0,Olark Chat Conversation,India,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,1
1462,644862,Landing Page Submission,Google,0,0,6.0,1152,3.0,SMS Sent,India,Operations Management,Online Search,Unknown,0,0,Unknown,Unknown,Mumbai,1,3,0,0
1463,644861,API,Olark Chat,0,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,2,2,0,1
1464,644821,Landing Page Submission,Direct Traffic,0,0,1.0,211,1.0,Converted to Lead,India,Supply Chain Management,Unknown,Unemployed,0,0,Not Sure,Other Leads,Mumbai,2,3,1,1
1465,644816,Landing Page Submission,Google,0,0,4.0,367,4.0,Email Opened,India,Marketing Management,Online Search,Unknown,0,0,Unknown,Unknown,Mumbai,2,3,0,1
1466,644763,API,Google,0,0,2.0,942,2.0,SMS Sent,India,Unknown,Unknown,Unemployed,0,0,Worst,Potential Lead,Mumbai,1,2,0,1
1467,644758,Landing Page Submission,Google,0,1,4.0,894,4.0,SMS Sent,India,IT Projects Management,Online Search,Working Professional,0,0,Might be,Unknown,Thane & Outskirts,2,1,0,0
1468,644750,API,Google,0,1,2.0,1132,1.0,Email Opened,India,Operations Management,Unknown,Working Professional,0,0,Might be,Potential Lead,Unknown,2,2,0,0
1469,644724,Landing Page Submission,Direct Traffic,0,1,3.0,941,3.0,Email Opened,India,Business Administration,Unknown,Unemployed,0,0,Unknown,Unknown,Mumbai,2,3,1,0
1470,644723,API,Organic Search,0,1,8.0,234,4.0,SMS Sent,India,Travel and Tourism,Unknown,Working Professional,0,0,Might be,Potential Lead,Unknown,2,1,0,0
1471,644717,Landing Page Submission,Organic Search,0,0,4.0,1075,4.0,Email Opened,India,"Banking, Investment And Insurance",Unknown,Unknown,0,0,Unknown,Unknown,Other Metro Cities,2,2,1,0
1472,644710,Landing Page Submission,Google,0,0,6.0,153,3.0,Email Opened,India,Business Administration,Unknown,Unknown,0,0,Unknown,Unknown,Mumbai,2,3,0,0
1473,644706,Landing Page Submission,Direct Traffic,0,1,5.0,1275,2.5,Email Opened,India,IT Projects Management,Unknown,Unemployed,0,0,Might be,Unknown,Other Cities of Maharashtra,2,1,1,0
1474,644703,API,Google,0,0,2.0,1322,2.0,Email Opened,India,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,0
